source_text	source_dataset	source_id	target_text	target_dataset	target_id	pair_type	llm_confidence	llm_model	llm_reasoning
Age other serious eye condition diagnosed	Israeli10K	il10k_health_eyes_other_serious_condition_eye_start_age	Abnormality of the eye	HPO	HP:0000478	questionnaire_match	0.7	gpt-4	Extracted terms: Eye disease | Mapped to HPO: Abnormality of the eye
Recommendation to repeat colonoscopy in XXX years	Israeli10K	il10k_repeat_colonoscopy_years	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Average weekly intake of other alcoholic drinks	Israeli10K	il10k_alcohol_weekly_other_intake_number	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Fever when IBS symptoms first began	Israeli10K	il10k_history_ibs_first_symptoms_fever	Abnormality of temperature regulation	HPO	HP:0004370	questionnaire_match	0.7	gpt-4	Extracted terms: Abnormality of temperature regulation | Mapped to HPO: Abnormality of temperature regulation
Difficulty not smoking for 1 day	Israeli10K	il10k_smoking_current_difficulty_to_avoid_one_day	Protein craving	HPO	HP:6000785	questionnaire_match	0.5	gpt-4	Extracted terms: Craving | Mapped to HPO: Protein craving
Average monthly spirits intake	Israeli10K	il10k_alcohol_monthly_spirits_intake_choice	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Family history	Israeli10K	il10k_family_history	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Family history of IBS	Israeli10K	il10k_history_family_ibs	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Satisfaction with bowel habits	Israeli10K	il10k_bowl_movements_current_satisfaction	Abnormality of the gastrointestinal tract	HPO	HP:0011024	questionnaire_match	0.7	gpt-4	Extracted terms: Abnormality of the gastrointestinal tract | Mapped to HPO: Abnormality of the gastrointestinal tract
Mother's age at death	Israeli10K	il10k_family_history_mother_age_passing	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)	Israeli10K	il10k_smoking_current_cigar_age_stop_number	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Diarrhoea when IBS symptoms first began	Israeli10K	il10k_history_ibs_first_symptoms_diarrhoea	Diarrhea	HPO	HP:0002014	questionnaire_match	0.9	gpt-4	Extracted terms: Diarrhea | Mapped to HPO: Diarrhea
Illnesses of adopted mother	Israeli10K	il10k_family_history_past_adopted_mother_illness_2	Family history	HPO	HP:0032316	questionnaire_match	0.7	gpt-4	Extracted terms: Family history unknown | Mapped to HPO: Family history
Splenectomy year	Israeli10K	il10k_splenectomy_year	Partial functional complement factor D deficiency	HPO	HP:0008338	questionnaire_match	0.5	gpt-4	Extracted terms: Functional asplenia | Mapped to HPO: Partial functional complement factor D deficiency
Alcohol intake versus 10 years previously	Israeli10K	il10k_alcohol_present_vs_past	Atypical behavior	HPO	HP:0000708	questionnaire_match	0.9	gpt-4	Extracted terms: Behavioral abnormality | Mapped to HPO: Atypical behavior
Snoring	Israeli10K	il10k_sleep_snoring	Snoring	HPO	HP:0025267	questionnaire_match	1.0	gpt-4	Extracted terms: Snoring | Mapped to HPO: Snoring
Age when loss of vision due to injury or trauma diagnosed	Israeli10K	il10k_health_eyes_injury_trauma_eye_start_age	Visual loss	HPO	HP:0000572	questionnaire_match	0.7	gpt-4	Extracted terms: Acute vision loss | Mapped to HPO: Visual loss
Average monthly fortified wine intake	Israeli10K	il10k_alcohol_monthly_fortified_wine_intake_number	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Renal Doppler [ultrasound]	Israeli10K	il10k_kidney_artery_doppler_past_year	Renal artery stenosis	HPO	HP:0001920	questionnaire_match	0.5	gpt-4	Extracted terms: Renal artery stenosis | Mapped to HPO: Renal artery stenosis
Average weekly champagne plus white wine intake	Israeli10K	il10k_alcohol_weekly_white_champagne_intake_number	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Former alcohol drinker	Israeli10K	il10k_alcohol_past_status	Abnormal alcohol consumption	HPO	HP:0430037	questionnaire_match	0.7	gpt-4	Extracted terms: Former alcohol use | Mapped to HPO: Abnormal alcohol consumption
Comparative height size at age 10	Israeli10K	il10k_early_life_comparative_body_height	Growth delay	HPO	HP:0001510	questionnaire_match	0.7	gpt-4	Extracted terms: Growth delay | Mapped to HPO: Growth delay
Time spent using computer	Israeli10K	il10k_activity_indoors_pc_daily	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Long-term/recurrent antibiotics as child or teenager	Israeli10K	il10k_history_childhood_antibiotics	Recurrent upper respiratory tract infections	HPO	HP:0002788	questionnaire_match	0.5	gpt-4	Extracted terms: Recurrent upper respiratory tract infections | Mapped to HPO: Recurrent upper respiratory tract infections
Pre pregnancy genetic testing	Israeli10K	il10k_pre_pregnancy_genetic_testing	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Number of days/week walked 10+ minutes	Israeli10K	il10k_activity_walking_10min_days_weekly	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Chest / abdomen / pelvis / head CT / MRI examination	Israeli10K	il10k_chest_abdomen_pevlis_head_ct_mri_past_year	Abnormal corticospinal tract morphology	HPO	HP:0002492	questionnaire_match	0.5	gpt-4	Extracted terms: Multisystemic involvement | Mapped to HPO: Abnormal corticospinal tract morphology
Weight change compared with 1 year ago	Israeli10K	il10k_health_general_past_year_weight_change	Abnormality of body weight	HPO	HP:0004323	questionnaire_match	0.9	gpt-4	Extracted terms: Abnormality of body weight | Mapped to HPO: Abnormality of body weight
Alcohol usually taken with meals	Israeli10K	il10k_alcohol_current_with_meals	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Length of mobile phone use	Israeli10K	il10k_mobile_phone_years	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Father's age at death	Israeli10K	il10k_family_history_adopted_father_age_passing	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Are you vegeterian?	Israeli10K	il10k_diet_vegeterian_indicator	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question How many years ago was your last screen?	UKBB	ukbb_2684	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question Are you often troubled by feelings of guilt?	UKBB	ukbb_2030	Guilt	HPO	HP:6000011	questionnaire_match	0.9	gpt-4	Extracted terms: Feelings of guilt | Mapped to HPO: Guilt
ACE touchscreen question Over the past two weeks, how often have you felt tense, fidgety or restless?	UKBB	ukbb_2070	Akathisia	HPO	HP:0031943	questionnaire_match	0.7	gpt-4	Extracted terms: Akathisia | Mapped to HPO: Akathisia
Interval between previous point and current one in alphanumeric path (trail #2). Note that these intervals are unlikely to sum to	UKBB	ukbb_6773	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Participants were allowed up to 2 attempts to correctly recall the colour/shape shown to them earlier in the touchscreen section. This is the first answer they gave.	UKBB	ukbb_4292	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
This derived data field has come from Professor Jill Pell from the Institute of Health Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resourc...	UKBB	ukbb_20122	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
This is the time that a participant looked at each word/picture group before selecting a picture.	UKBB	ukbb_6317	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question Have you ever had a period of time lasting at least two days when you were so irritable that you found yourself shouting at people or starting fights or arguments?	UKBB	ukbb_4653	Irritability	HPO	HP:0000737	questionnaire_match	0.9	gpt-4	Extracted terms: Irritability | Mapped to HPO: Irritability
ACE touchscreen question What was your age when injury or trauma resulting in loss of vision was first diagnosed?	UKBB	ukbb_5430	Visual loss	HPO	HP:0000572	questionnaire_match	0.9	gpt-4	Extracted terms: Vision loss | Mapped to HPO: Visual loss
ACE touchscreen question What was your age when the blood clot in the lung was first diagnosed?	UKBB	ukbb_4022	Pulmonary embolism	HPO	HP:0002204	questionnaire_match	0.9	gpt-4	Extracted terms: Pulmonary embolism | Mapped to HPO: Pulmonary embolism
ACE touchscreen question Does this pain ever begin when you are standing still or sitting?	UKBB	ukbb_5452	Positionally dependent pain	HPO	HP:4000182	questionnaire_match	0.9	gpt-4	Extracted terms: Positional pain | Mapped to HPO: Positionally dependent pain
The correct word associated with long was curtains.	UKBB	ukbb_6492	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.	UKBB	ukbb_10136	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Field description available on UK Biobank website	UKBB	ukbb_120	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, measured in years.	UKBB	ukbb_20006	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question For approximately how many years have you been using a mobile phone at least once per week to make or receive calls?	UKBB	ukbb_1110	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question How old were you when you last used HRT?	UKBB	ukbb_3546	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question Have you tried to give up smoking?	UKBB	ukbb_3486	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question Do you wear sun protection (e.g. sunscreen lotion, hat) when you spend time outdoors in the summer?	UKBB	ukbb_2267	Not mappable to HPO	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Extracted terms: Sunburn
ACE touchscreen question Why did you stop drinking?	UKBB	ukbb_10853	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question What was your age when the heart attack was first diagnosed?	UKBB	ukbb_3894	Myocardial infarction	HPO	HP:0001658	questionnaire_match	0.9	gpt-4	Extracted terms: Myocardial infarction | Mapped to HPO: Myocardial infarction
ACE touchscreen question How many days is your usual menstrual cycle? (The number of days between each menstrual period)	UKBB	ukbb_3710	Metrorrhagia	HPO	HP:0100608	questionnaire_match	0.5	gpt-4	Extracted terms: Abnormal intermenstrual interval | Mapped to HPO: Metrorrhagia
Place born - north co-ordinate	UKBB	ukbb_129	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question In a typical DAY in winter, how many hours do you spend outdoors?	UKBB	ukbb_1060	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question Have you had facial pains for more than 3 months?	UKBB	ukbb_4067	Chronic pain	HPO	HP:0012532	questionnaire_match	0.7	gpt-4	Extracted terms: Chronic orofacial pain | Mapped to HPO: Chronic pain
Field description available on UK Biobank website	UKBB	ukbb_5780	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question Do you get short of breath walking with people of your own age on level ground?	UKBB	ukbb_4717	Exertional dyspnea	HPO	HP:0002875	questionnaire_match	0.9	gpt-4	Extracted terms: Exertional dyspnea | Mapped to HPO: Exertional dyspnea
Field description available on UK Biobank website	UKBB	ukbb_5700	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Field description available on UK Biobank website	UKBB	ukbb_10139	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
Average number of pack-years smoked by an individual each year, over their adult lifetime, calculated using pack-years data field. Pack years as a proportion of lifespan exposed to smoking is defined ...	UKBB	ukbb_20162	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question What type of bread do you mainly eat?	UKBB	ukbb_10776	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question Do you add salt to your food? (Do not include salt used in cooking)	UKBB	ukbb_1478	Question not mappable to medical ontology	HPO	NO_MATCH	questionnaire_match	0.0	gpt-4	Note: Question not mappable to medical ontology
ACE touchscreen question In the last year have you ever had wheeze or whistling in the chest?	UKBB	ukbb_2316	Wheezing	HPO	HP:0030828	questionnaire_match	0.9	gpt-4	Extracted terms: Wheezing | Mapped to HPO: Wheezing
