source_text	source_dataset	source_id	target_text	target_dataset	target_id	pair_type	llm_confidence	llm_model	llm_reasoning	cluster_id	cluster_size	is_cross_source
Facial paralysis	Arivale	arivale_1f72727a4517	ACE touchscreen question Have you had facial pains for more than 3 months?	UKBB	ukbb_4067	questionnaire_match	0.5795	sentence-transformers/all-MiniLM-L6-v2	Cluster 36 (size 3, sim=0.5795): Arivale ↔ UKBB semantic match	36	3	True
Facial pains for 3+ months	Israeli10K	il10k_health_pain_past_3_months_facial	ACE touchscreen question Have you had facial pains for more than 3 months?	UKBB	ukbb_4067	questionnaire_match	0.5795	sentence-transformers/all-MiniLM-L6-v2	Cluster 36 (size 3, sim=0.5795): Israeli10K ↔ UKBB semantic match	36	3	True
My personal relationship status is	Arivale	arivale_cbfd51fd3c01	Family relationship satisfaction	Israeli10K	il10k_health_mental_current_satisfaction_family_relations	questionnaire_match	0.578	sentence-transformers/all-MiniLM-L6-v2	Cluster 39 (size 3, sim=0.578): Arivale ↔ Israeli10K semantic match	39	3	True
My personal relationship status is	Arivale	arivale_cbfd51fd3c01	ACE touchscreen question In general how satisfied are you with your FAMILY RELATIONSHIPS?	UKBB	ukbb_4559	questionnaire_match	0.578	sentence-transformers/all-MiniLM-L6-v2	Cluster 39 (size 3, sim=0.578): Arivale ↔ UKBB semantic match	39	3	True
Family relationship satisfaction	Israeli10K	il10k_health_mental_current_satisfaction_family_relations	ACE touchscreen question In general how satisfied are you with your FAMILY RELATIONSHIPS?	UKBB	ukbb_4559	questionnaire_match	0.578	sentence-transformers/all-MiniLM-L6-v2	Cluster 39 (size 3, sim=0.578): Israeli10K ↔ UKBB semantic match	39	3	True
Psoriasis	Arivale	arivale_282e19c0a270	Childhood sunburn occasions	Israeli10K	il10k_skin_past_sunburns	questionnaire_match	0.5224	sentence-transformers/all-MiniLM-L6-v2	Cluster 54 (size 3, sim=0.5224): Arivale ↔ Israeli10K semantic match	54	3	True
Psoriasis	Arivale	arivale_282e19c0a270	ACE touchscreen question Before the age of 15, how many times did you suffer sunburn that was painful for at least 2 days or caused blistering?	UKBB	ukbb_1737	questionnaire_match	0.5224	sentence-transformers/all-MiniLM-L6-v2	Cluster 54 (size 3, sim=0.5224): Arivale ↔ UKBB semantic match	54	3	True
Childhood sunburn occasions	Israeli10K	il10k_skin_past_sunburns	ACE touchscreen question Before the age of 15, how many times did you suffer sunburn that was painful for at least 2 days or caused blistering?	UKBB	ukbb_1737	questionnaire_match	0.5224	sentence-transformers/all-MiniLM-L6-v2	Cluster 54 (size 3, sim=0.5224): Israeli10K ↔ UKBB semantic match	54	3	True
Colon Polyp	Arivale	arivale_541185da05f5	Polyps information	Israeli10K	il10k_polyps_information	questionnaire_match	0.4808	sentence-transformers/all-MiniLM-L6-v2	Cluster 72 (size 3, sim=0.4808): Arivale ↔ Israeli10K semantic match	72	3	True
Colon Polyp	Arivale	arivale_541185da05f5	This field contains the values the participant entered when shown each puzzle.	UKBB	ukbb_6312	questionnaire_match	0.4808	sentence-transformers/all-MiniLM-L6-v2	Cluster 72 (size 3, sim=0.4808): Arivale ↔ UKBB semantic match	72	3	True
Polyps information	Israeli10K	il10k_polyps_information	This field contains the values the participant entered when shown each puzzle.	UKBB	ukbb_6312	questionnaire_match	0.4808	sentence-transformers/all-MiniLM-L6-v2	Cluster 72 (size 3, sim=0.4808): Israeli10K ↔ UKBB semantic match	72	3	True
I laugh a lot.	Arivale	arivale_f6fa9f167a8d	Ever highly irritable/argumentative for 2 days	Israeli10K	il10k_health_mental_past_irritable_two_days	questionnaire_match	0.451	sentence-transformers/all-MiniLM-L6-v2	Cluster 84 (size 3, sim=0.451): Arivale ↔ Israeli10K semantic match	84	3	True
I laugh a lot.	Arivale	arivale_f6fa9f167a8d	ACE touchscreen question Have you ever had a period of time lasting at least two days when you were so irritable that you found yourself shouting at people or starting fights or arguments?	UKBB	ukbb_4653	questionnaire_match	0.451	sentence-transformers/all-MiniLM-L6-v2	Cluster 84 (size 3, sim=0.451): Arivale ↔ UKBB semantic match	84	3	True
Ever highly irritable/argumentative for 2 days	Israeli10K	il10k_health_mental_past_irritable_two_days	ACE touchscreen question Have you ever had a period of time lasting at least two days when you were so irritable that you found yourself shouting at people or starting fights or arguments?	UKBB	ukbb_4653	questionnaire_match	0.451	sentence-transformers/all-MiniLM-L6-v2	Cluster 84 (size 3, sim=0.451): Israeli10K ↔ UKBB semantic match	84	3	True
I don't find it easy to make decisions.	Arivale	arivale_2ded7ae8a8c0	Risk taking	Israeli10K	il10k_health_mental_current_risk_taker	questionnaire_match	0.4226	sentence-transformers/all-MiniLM-L6-v2	Cluster 93 (size 3, sim=0.4226): Arivale ↔ Israeli10K semantic match	93	3	True
I don't find it easy to make decisions.	Arivale	arivale_2ded7ae8a8c0	ACE touchscreen question Would you describe yourself as someone who takes risks?	UKBB	ukbb_2040	questionnaire_match	0.4226	sentence-transformers/all-MiniLM-L6-v2	Cluster 93 (size 3, sim=0.4226): Arivale ↔ UKBB semantic match	93	3	True
Risk taking	Israeli10K	il10k_health_mental_current_risk_taker	ACE touchscreen question Would you describe yourself as someone who takes risks?	UKBB	ukbb_2040	questionnaire_match	0.4226	sentence-transformers/all-MiniLM-L6-v2	Cluster 93 (size 3, sim=0.4226): Israeli10K ↔ UKBB semantic match	93	3	True
Erectile dysfunction	Arivale	arivale_5b820041a0cb	Hard to have sex	Israeli10K	il10k_hard_to_have_sex	questionnaire_match	0.4209	sentence-transformers/all-MiniLM-L6-v2	Cluster 95 (size 3, sim=0.4209): Arivale ↔ Israeli10K semantic match	95	3	True
Erectile dysfunction	Arivale	arivale_5b820041a0cb	ACE touchscreen question The next section contains questions about your sexual history. If you feel that a question is too sensitive, you can skip the question or skip the entire section if you prefer...	UKBB	ukbb_2129	questionnaire_match	0.4209	sentence-transformers/all-MiniLM-L6-v2	Cluster 95 (size 3, sim=0.4209): Arivale ↔ UKBB semantic match	95	3	True
Hard to have sex	Israeli10K	il10k_hard_to_have_sex	ACE touchscreen question The next section contains questions about your sexual history. If you feel that a question is too sensitive, you can skip the question or skip the entire section if you prefer...	UKBB	ukbb_2129	questionnaire_match	0.4209	sentence-transformers/all-MiniLM-L6-v2	Cluster 95 (size 3, sim=0.4209): Israeli10K ↔ UKBB semantic match	95	3	True
I have frequent mood swings.	Arivale	arivale_c5f90322357e	Mood swings	Israeli10K	il10k_health_mental_current_mood_swings_frequency	questionnaire_match	0.8349	sentence-transformers/all-MiniLM-L6-v2	Cluster 104 (size 2, sim=0.8349): Arivale ↔ Israeli10K semantic match	104	2	True
Which eye(s) affected by hypermetropia (long sight)	Israeli10K	il10k_health_eyes_long_sight_eye	ACE touchscreen question Which eye(s) are affected by hypermetropia (long sight)?	UKBB	ukbb_5832	questionnaire_match	0.8107	sentence-transformers/all-MiniLM-L6-v2	Cluster 105 (size 2, sim=0.8107): Israeli10K ↔ UKBB semantic match	105	2	True
Which eye(s) affected by amblyopia (lazy eye)	Israeli10K	il10k_health_eyes_amblyopia_eye	ACE touchscreen question Which eye(s) are affected by amblyopia (lazy eye)?	UKBB	ukbb_5408	questionnaire_match	0.8043	sentence-transformers/all-MiniLM-L6-v2	Cluster 106 (size 2, sim=0.8043): Israeli10K ↔ UKBB semantic match	106	2	True
Which eye(s) affected by strabismus (squint)	Israeli10K	il10k_health_eyes_squint_eye	ACE touchscreen question Which eye(s) are affected by strabismus (squint)?	UKBB	ukbb_6205	questionnaire_match	0.7811	sentence-transformers/all-MiniLM-L6-v2	Cluster 107 (size 2, sim=0.7811): Israeli10K ↔ UKBB semantic match	107	2	True
Which eye(s) affected by myopia (short sight)	Israeli10K	il10k_health_eyes_short_sight_eye	ACE touchscreen question Which eye(s) are affected by myopia (short sight)?	UKBB	ukbb_5843	questionnaire_match	0.7773	sentence-transformers/all-MiniLM-L6-v2	Cluster 108 (size 2, sim=0.7773): Israeli10K ↔ UKBB semantic match	108	2	True
Which eye(s) affected by presbyopia	Israeli10K	il10k_health_eyes_reading_glasses_eye	ACE touchscreen question Which eye(s) are affected by presbyopia?	UKBB	ukbb_5610	questionnaire_match	0.7672	sentence-transformers/all-MiniLM-L6-v2	Cluster 109 (size 2, sim=0.7672): Israeli10K ↔ UKBB semantic match	109	2	True
Hair colour (natural, before greying)	Israeli10K	il10k_hair_color	ACE touchscreen question What best describes your natural hair colour? (If your hair colour is grey, the colour before you went grey)	UKBB	ukbb_1747	questionnaire_match	0.7549	sentence-transformers/all-MiniLM-L6-v2	Cluster 110 (size 2, sim=0.7549): Israeli10K ↔ UKBB semantic match	110	2	True
Which eye(s) affected by diabetes-related eye disease	Israeli10K	il10k_health_eyes_diabetes_eye	ACE touchscreen question Which eye(s) are affected by diabetes related eye disease?	UKBB	ukbb_5890	questionnaire_match	0.7417	sentence-transformers/all-MiniLM-L6-v2	Cluster 111 (size 2, sim=0.7417): Israeli10K ↔ UKBB semantic match	111	2	True
Age started wearing glasses or contact lenses	Israeli10K	il10k_health_eyes_glasses_contacts_start_age	Age started wearing glasses	Israeli10K	il10k_eye_health_eyeglasses_age	questionnaire_match	0.7316	sentence-transformers/all-MiniLM-L6-v2	Cluster 112 (size 3, sim=0.7316): Israeli10K ↔ Israeli10K semantic match	112	3	False
Age started wearing glasses or contact lenses	Israeli10K	il10k_health_eyes_glasses_contacts_start_age	ACE touchscreen question What age did you first start to wear glasses or contact lenses?	UKBB	ukbb_2217	questionnaire_match	0.7316	sentence-transformers/all-MiniLM-L6-v2	Cluster 112 (size 3, sim=0.7316): Israeli10K ↔ UKBB semantic match	112	3	True
Age started wearing glasses	Israeli10K	il10k_eye_health_eyeglasses_age	ACE touchscreen question What age did you first start to wear glasses or contact lenses?	UKBB	ukbb_2217	questionnaire_match	0.7316	sentence-transformers/all-MiniLM-L6-v2	Cluster 112 (size 3, sim=0.7316): Israeli10K ↔ UKBB semantic match	112	3	True
Salt added to food indication	Israeli10K	il10k_diet_add_salt_to_food	ACE touchscreen question Do you add salt to your food? (Do not include salt used in cooking)	UKBB	ukbb_1478	questionnaire_match	0.7301	sentence-transformers/all-MiniLM-L6-v2	Cluster 113 (size 2, sim=0.7301): Israeli10K ↔ UKBB semantic match	113	2	True
Which eye(s) affected by other serious eye condition	Israeli10K	il10k_health_eyes_other_serious_condition_eye	ACE touchscreen question Which eye(s) are affected by the other serious eye condition?	UKBB	ukbb_5934	questionnaire_match	0.7201	sentence-transformers/all-MiniLM-L6-v2	Cluster 114 (size 2, sim=0.7201): Israeli10K ↔ UKBB semantic match	114	2	True
Previously smoked cigarettes on most/all days	Israeli10K	il10k_smoking_current_cigar_past_status	ACE touchscreen question Did you previously smoke cigarettes on most or all days?	UKBB	ukbb_5959	questionnaire_match	0.6994	sentence-transformers/all-MiniLM-L6-v2	Cluster 115 (size 2, sim=0.6994): Israeli10K ↔ UKBB semantic match	115	2	True
Time spent outdoors in winter	Israeli10K	il10k_activity_outdoors_winter_daily	ACE touchscreen question In a typical DAY in winter, how many hours do you spend outdoors?	UKBB	ukbb_1060	questionnaire_match	0.685	sentence-transformers/all-MiniLM-L6-v2	Cluster 117 (size 2, sim=0.685): Israeli10K ↔ UKBB semantic match	117	2	True
Pap smear	Arivale	arivale_323d4609c423	Normal PAP test	Israeli10K	il10k_vaccinations_past_year	questionnaire_match	0.6723	sentence-transformers/all-MiniLM-L6-v2	Cluster 118 (size 2, sim=0.6723): Arivale ↔ Israeli10K semantic match	118	2	True
Pork intake	Israeli10K	il10k_diet_pork_intake	ACE touchscreen question How often do you eat pork? (Do not count processed meats such as bacon or ham)	UKBB	ukbb_1389	questionnaire_match	0.6614	sentence-transformers/all-MiniLM-L6-v2	Cluster 120 (size 2, sim=0.6614): Israeli10K ↔ UKBB semantic match	120	2	True
How many servings of fruit (including juice) do you have each day? (1 serving = 1 medium piece of whole fruit, ½ cup sliced fruit/berries or ½ cup juice)	Arivale	arivale_0ed8e50d6d0a	ACE touchscreen question About how many pieces of FRESH fruit would you eat per DAY? (Count one apple, one banana, 10 grapes etc as one piece; put '0' if you do not eat any)	UKBB	ukbb_1309	questionnaire_match	0.6596	sentence-transformers/all-MiniLM-L6-v2	Cluster 121 (size 2, sim=0.6596): Arivale ↔ UKBB semantic match	121	2	True
Average weekly champagne plus white wine intake	Israeli10K	il10k_alcohol_weekly_white_champagne_intake_choice	Average weekly champagne plus white wine intake	Israeli10K	il10k_alcohol_weekly_white_champagne_intake_number	questionnaire_match	0.6575	sentence-transformers/all-MiniLM-L6-v2	Cluster 122 (size 3, sim=0.6575): Israeli10K ↔ Israeli10K semantic match	122	3	False
Average weekly champagne plus white wine intake	Israeli10K	il10k_alcohol_weekly_white_champagne_intake_choice	ACE touchscreen question In an average WEEK, how many glasses of WHITE wine or champagne would you drink? (There are six glasses in an average bottle)	UKBB	ukbb_1578	questionnaire_match	0.6575	sentence-transformers/all-MiniLM-L6-v2	Cluster 122 (size 3, sim=0.6575): Israeli10K ↔ UKBB semantic match	122	3	True
Average weekly champagne plus white wine intake	Israeli10K	il10k_alcohol_weekly_white_champagne_intake_number	ACE touchscreen question In an average WEEK, how many glasses of WHITE wine or champagne would you drink? (There are six glasses in an average bottle)	UKBB	ukbb_1578	questionnaire_match	0.6575	sentence-transformers/all-MiniLM-L6-v2	Cluster 122 (size 3, sim=0.6575): Israeli10K ↔ UKBB semantic match	122	3	True
Average monthly champagne plus white wine intake	Israeli10K	il10k_alcohol_monthly_white_champagne_intake_choice	Average monthly champagne plus white wine intake	Israeli10K	il10k_alcohol_monthly_white_champagne_intake_number	questionnaire_match	0.6573	sentence-transformers/all-MiniLM-L6-v2	Cluster 123 (size 3, sim=0.6573): Israeli10K ↔ Israeli10K semantic match	123	3	False
Average monthly champagne plus white wine intake	Israeli10K	il10k_alcohol_monthly_white_champagne_intake_choice	ACE touchscreen question In an average MONTH, how many glasses of WHITE wine or champagne would you drink? (There are six glasses in an average bottle)	UKBB	ukbb_4418	questionnaire_match	0.6573	sentence-transformers/all-MiniLM-L6-v2	Cluster 123 (size 3, sim=0.6573): Israeli10K ↔ UKBB semantic match	123	3	True
Average monthly champagne plus white wine intake	Israeli10K	il10k_alcohol_monthly_white_champagne_intake_number	ACE touchscreen question In an average MONTH, how many glasses of WHITE wine or champagne would you drink? (There are six glasses in an average bottle)	UKBB	ukbb_4418	questionnaire_match	0.6573	sentence-transformers/all-MiniLM-L6-v2	Cluster 123 (size 3, sim=0.6573): Israeli10K ↔ UKBB semantic match	123	3	True
Usual walking pace	Israeli10K	il10k_activity_walking_pace	ACE touchscreen question How would you describe your usual walking pace?	UKBB	ukbb_924	questionnaire_match	0.6515	sentence-transformers/all-MiniLM-L6-v2	Cluster 126 (size 2, sim=0.6515): Israeli10K ↔ UKBB semantic match	126	2	True
I consider myself a morning person.	Arivale	arivale_c008ee3c5b87	Getting up in morning	Israeli10K	il10k_sleep_waking_morning_easy	questionnaire_match	0.6504	sentence-transformers/all-MiniLM-L6-v2	Cluster 127 (size 3, sim=0.6504): Arivale ↔ Israeli10K semantic match	127	3	True
I consider myself a morning person.	Arivale	arivale_c008ee3c5b87	Morning/evening person (chronotype)	Israeli10K	il10k_sleep_chronotype	questionnaire_match	0.6504	sentence-transformers/all-MiniLM-L6-v2	Cluster 127 (size 3, sim=0.6504): Arivale ↔ Israeli10K semantic match	127	3	True
Getting up in morning	Israeli10K	il10k_sleep_waking_morning_easy	Morning/evening person (chronotype)	Israeli10K	il10k_sleep_chronotype	questionnaire_match	0.6504	sentence-transformers/all-MiniLM-L6-v2	Cluster 127 (size 3, sim=0.6504): Israeli10K ↔ Israeli10K semantic match	127	3	False
Age cataract diagnosed	Israeli10K	il10k_health_eyes_cataract_eye_start_age	Eye health LASIK surgery age	Israeli10K	il10k_eye_health_surgery_improve_vision_age	questionnaire_match	0.65	sentence-transformers/all-MiniLM-L6-v2	Cluster 128 (size 3, sim=0.65): Israeli10K ↔ Israeli10K semantic match	128	3	False
Age cataract diagnosed	Israeli10K	il10k_health_eyes_cataract_eye_start_age	ACE touchscreen question What was your age when a cataract was first diagnosed?	UKBB	ukbb_4700	questionnaire_match	0.65	sentence-transformers/all-MiniLM-L6-v2	Cluster 128 (size 3, sim=0.65): Israeli10K ↔ UKBB semantic match	128	3	True
Eye health LASIK surgery age	Israeli10K	il10k_eye_health_surgery_improve_vision_age	ACE touchscreen question What was your age when a cataract was first diagnosed?	UKBB	ukbb_4700	questionnaire_match	0.65	sentence-transformers/all-MiniLM-L6-v2	Cluster 128 (size 3, sim=0.65): Israeli10K ↔ UKBB semantic match	128	3	True
Age when last ate meat	Israeli10K	il10k_diet_meat_last_ate_choice	Age when last ate meat	Israeli10K	il10k_diet_meat_last_ate_age	questionnaire_match	0.6486	sentence-transformers/all-MiniLM-L6-v2	Cluster 129 (size 3, sim=0.6486): Israeli10K ↔ Israeli10K semantic match	129	3	False
Age when last ate meat	Israeli10K	il10k_diet_meat_last_ate_choice	ACE touchscreen question How old were you when you last ate any kind of meat? (Enter 0 if you have never eaten meat in your lifetime)	UKBB	ukbb_3680	questionnaire_match	0.6486	sentence-transformers/all-MiniLM-L6-v2	Cluster 129 (size 3, sim=0.6486): Israeli10K ↔ UKBB semantic match	129	3	True
Age when last ate meat	Israeli10K	il10k_diet_meat_last_ate_age	ACE touchscreen question How old were you when you last ate any kind of meat? (Enter 0 if you have never eaten meat in your lifetime)	UKBB	ukbb_3680	questionnaire_match	0.6486	sentence-transformers/all-MiniLM-L6-v2	Cluster 129 (size 3, sim=0.6486): Israeli10K ↔ UKBB semantic match	129	3	True
Neck/shoulder pain for 3+ months	Israeli10K	il10k_health_pain_past_3_months_neck_shoulders	ACE touchscreen question Have you had neck or shoulder pains for more than 3 months?	UKBB	ukbb_3404	questionnaire_match	0.6437	sentence-transformers/all-MiniLM-L6-v2	Cluster 132 (size 2, sim=0.6437): Israeli10K ↔ UKBB semantic match	132	2	True
Dried fruit daily intake	Israeli10K	il10k_diet_fruit_dried_intake_choice	Dried fruit daily intake	Israeli10K	il10k_diet_fruit_dried_intake_number	questionnaire_match	0.6413	sentence-transformers/all-MiniLM-L6-v2	Cluster 133 (size 3, sim=0.6413): Israeli10K ↔ Israeli10K semantic match	133	3	False
Dried fruit daily intake	Israeli10K	il10k_diet_fruit_dried_intake_choice	ACE touchscreen question About how many pieces of DRIED fruit would you eat per DAY? (Count one prune, one dried apricot, 10 raisins as one piece; put '0' if you do not eat any)	UKBB	ukbb_1319	questionnaire_match	0.6413	sentence-transformers/all-MiniLM-L6-v2	Cluster 133 (size 3, sim=0.6413): Israeli10K ↔ UKBB semantic match	133	3	True
Dried fruit daily intake	Israeli10K	il10k_diet_fruit_dried_intake_number	ACE touchscreen question About how many pieces of DRIED fruit would you eat per DAY? (Count one prune, one dried apricot, 10 raisins as one piece; put '0' if you do not eat any)	UKBB	ukbb_1319	questionnaire_match	0.6413	sentence-transformers/all-MiniLM-L6-v2	Cluster 133 (size 3, sim=0.6413): Israeli10K ↔ UKBB semantic match	133	3	True
Time spend outdoors in summer	Israeli10K	il10k_activity_outdoors_summer_daily	ACE touchscreen question In a typical DAY in summer, how many hours do you spend outdoors?	UKBB	ukbb_1050	questionnaire_match	0.6404	sentence-transformers/all-MiniLM-L6-v2	Cluster 134 (size 2, sim=0.6404): Israeli10K ↔ UKBB semantic match	134	2	True
Average monthly red wine intake	Israeli10K	il10k_alcohol_monthly_red_intake_choice	Average monthly red wine intake	Israeli10K	il10k_alcohol_monthly_red_intake_number	questionnaire_match	0.6329	sentence-transformers/all-MiniLM-L6-v2	Cluster 136 (size 3, sim=0.6329): Israeli10K ↔ Israeli10K semantic match	136	3	False
Average monthly red wine intake	Israeli10K	il10k_alcohol_monthly_red_intake_choice	ACE touchscreen question In an average MONTH, how many glasses of RED wine would you drink? (There are six glasses in an average bottle)	UKBB	ukbb_4407	questionnaire_match	0.6329	sentence-transformers/all-MiniLM-L6-v2	Cluster 136 (size 3, sim=0.6329): Israeli10K ↔ UKBB semantic match	136	3	True
Average monthly red wine intake	Israeli10K	il10k_alcohol_monthly_red_intake_number	ACE touchscreen question In an average MONTH, how many glasses of RED wine would you drink? (There are six glasses in an average bottle)	UKBB	ukbb_4407	questionnaire_match	0.6329	sentence-transformers/all-MiniLM-L6-v2	Cluster 136 (size 3, sim=0.6329): Israeli10K ↔ UKBB semantic match	136	3	True
Tense / 'highly strung'	Israeli10K	il10k_health_mental_current_tense	ACE touchscreen question Would you call yourself tense or 'highly strung'?	UKBB	ukbb_1990	questionnaire_match	0.6206	sentence-transformers/all-MiniLM-L6-v2	Cluster 138 (size 2, sim=0.6206): Israeli10K ↔ UKBB semantic match	138	2	True
Average monthly beer plus cider intake	Israeli10K	il10k_alcohol_monthly_beer_cider_intake_choice	Average monthly beer plus cider intake	Israeli10K	il10k_alcohol_monthly_beer_cider_intake_number	questionnaire_match	0.6188	sentence-transformers/all-MiniLM-L6-v2	Cluster 139 (size 3, sim=0.6188): Israeli10K ↔ Israeli10K semantic match	139	3	False
Average monthly beer plus cider intake	Israeli10K	il10k_alcohol_monthly_beer_cider_intake_choice	ACE touchscreen question In an average MONTH, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness)	UKBB	ukbb_4429	questionnaire_match	0.6188	sentence-transformers/all-MiniLM-L6-v2	Cluster 139 (size 3, sim=0.6188): Israeli10K ↔ UKBB semantic match	139	3	True
